tanggal,keluaran
"Minggu, 01 Januari 2023",5241
"Senin, 02 Januari 2023",7247
"Selasa, 03 Januari 2023",8468
"Rabu, 04 Januari 2023",2954
"Kamis, 05 Januari 2023",4006
"Jumat, 06 Januari 2023",6689
"Sabtu, 07 Januari 2023",4791
"Minggu, 08 Januari 2023",978
"Senin, 09 Januari 2023",1872
"Selasa, 10 Januari 2023",6183
"Rabu, 11 Januari 2023",2662
"Kamis, 12 Januari 2023",9356
"Jumat, 13 Januari 2023",8380
"Sabtu, 14 Januari 2023",7208
"Minggu, 15 Januari 2023",624
"Senin, 16 Januari 2023",4005
"Selasa, 17 Januari 2023",3297
"Rabu, 18 Januari 2023",7654
"Kamis, 19 Januari 2023",3850
"Jumat, 20 Januari 2023",4174
"Sabtu, 21 Januari 2023",9240
"Minggu, 22 Januari 2023",8637
"Senin, 23 Januari 2023",7363
"Selasa, 24 Januari 2023",3574
"Rabu, 25 Januari 2023",9396
"Kamis, 26 Januari 2023",5035
"Jumat, 27 Januari 2023",6693
"Sabtu, 28 Januari 2023",5562
"Minggu, 29 Januari 2023",4807
"Senin, 30 Januari 2023",521
"Selasa, 31 Januari 2023",5604
"Rabu, 1 Februari 2023",4585
"Kamis, 2 Februari 2023",1513
"Jumat, 3 Februari 2023",9215
"Sabtu, 4 Februari 2023",7123
"Minggu, 5 Februari 2023",4832
"Senin, 6 Februari 2023",865
"Selasa, 7 Februari 2023",5619
"Rabu, 8 Februari 2023",6117
"Kamis, 9 Februari 2023",9858
"Jumat, 10 Februari 2023",8834
"Sabtu, 11 Februari 2023",5331
"Minggu, 12 Februari 2023",3110
"Senin, 13 Februari 2023",2251
"Selasa, 14 Februari 2023",3805
"Rabu, 15 Februari 2023",9973
"Kamis, 16 Februari 2023",5734
"Jumat, 17 Februari 2023",1047
"Sabtu, 18 Februari 2023",5009
"Minggu, 19 Februari 2023",3726
"Senin, 20 Februari 2023",7301
"Selasa, 21 Februari 2023",9892
"Rabu, 22 Februari 2023",6295
"Kamis, 23 Februari 2023",9079
"Jumat, 24 Februari 2023",8367
"Sabtu, 25 Februari 2023",6337
"Minggu, 26 Februari 2023",149
"Senin, 27 Februari 2023",5445
"Selasa, 28 Februari 2023",1673
"Rabu, 01 Maret 2023",2030
"Kamis, 02 Maret 2023",2642
"Jumat, 03 Maret 2023",4018
"Sabtu, 04 Maret 2023",1579
"Minggu, 05 Maret 2023",3281
"Senin, 06 Maret 2023",7184
"Selasa, 07 Maret 2023",646
"Rabu, 08 Maret 2023",8499
"Kamis, 09 Maret 2023",7820
"Jumat, 10 Maret 2023",4133
"Sabtu, 11 Maret 2023",3697
"Minggu, 12 Maret 2023",6138
"Senin, 13 Maret 2023",6368
"Selasa, 14 Maret 2023",413
"Rabu, 15 Maret 2023",2083
"Kamis, 16 Maret 2023",1971
"Jumat, 17 Maret 2023",9320
"Sabtu, 18 Maret 2023",4782
"Minggu, 19 Maret 2023",1791
"Senin, 20 Maret 2023",7248
"Selasa, 21 Maret 2023",8415
"Rabu, 22 Maret 2023",4627
"Kamis, 23 Maret 2023",5170
"Jumat, 24 Maret 2023",3802
"Sabtu, 25 Maret 2023",7587
"Minggu, 26 Maret 2023",2980
"Senin, 27 Maret 2023",9236
"Selasa, 28 Maret 2023",655
"Rabu, 29 Maret 2023",3101
"Kamis, 30 Maret 2023",5964
"Jumat, 31 Maret 2023",4453
"Sabtu, 01 April 2023",6814
"Minggu, 02 April 2023",1288
"Senin, 03 April 2023",2049
"Selasa, 04 April 2023",574
"Rabu, 05 April 2023",4653
"Kamis, 06 April 2023",3938
"Jumat, 07 April 2023",2985
"Sabtu, 08 April 2023",1429
"Minggu, 09 April 2023",6474
"Senin, 10 April 2023",7859
"Selasa, 11 April 2023",8266
"Rabu, 12 April 2023",3678
"Kamis, 13 April 2023",8699
"Jumat, 14 April 2023",9213
"Sabtu, 15 April 2023",169
"Minggu, 16 April 2023",2894
"Senin, 17 April 2023",3325
"Selasa, 18 April 2023",4781
"Rabu, 19 April 2023",8028
"Kamis, 20 April 2023",413
"Jumat, 21 April 2023",7911
"Sabtu, 22 April 2023",6546
"Minggu, 23 April 2023",1444
"Senin, 24 April 2023",5628
"Selasa, 25 April 2023",9571
"Rabu, 26 April 2023",4237
"Kamis, 27 April 2023",2823
"Jumat, 28 April 2023",9064
"Sabtu, 29 April 2023",4739
"Minggu, 30 April 2023",5480
"Senin, 01 Mei 2023",627
"Selasa, 02 Mei 2023",7368
"Rabu, 03 Mei 2023",3017
"Kamis, 04 Mei 2023",8573
"Jumat, 05 Mei 2023",121
"Sabtu, 06 Mei 2023",5098
"Minggu, 07 Mei 2023",4813
"Senin, 08 Mei 2023",903
"Selasa, 09 Mei 2023",7095
"Rabu, 10 Mei 2023",6371
"Kamis, 11 Mei 2023",1600
"Jumat, 12 Mei 2023",8287
"Sabtu, 13 Mei 2023",4710
"Minggu, 14 Mei 2023",6742
"Senin, 15 Mei 2023",9301
"Selasa, 16 Mei 2023",2490
"Rabu, 17 Mei 2023",1295
"Kamis, 18 Mei 2023",1498
"Jumat, 19 Mei 2023",8674
"Sabtu, 20 Mei 2023",5983
"Minggu, 21 Mei 2023",364
"Senin, 22 Mei 2023",9146
"Selasa, 23 Mei 2023",6022
"Rabu, 24 Mei 2023",2701
"Kamis, 25 Mei 2023",7862
"Jumat, 26 Mei 2023",4608
"Sabtu, 27 Mei 2023",8177
"Minggu, 28 Mei 2023",1356
"Senin, 29 Mei 2023",9545
"Selasa, 30 Mei 2023",492
"Rabu, 31 Mei 2023",5124
"Kamis, 01 Juni 2023",6409
"Jumat, 02 Juni 2023",626
"Sabtu, 03 Juni 2023",7089
"Minggu, 04 Juni 2023",1964
"Senin, 05 Juni 2023",4178
"Selasa, 06 Juni 2023",7752
"Rabu, 07 Juni 2023",4611
"Kamis, 08 Juni 2023",1337
"Jumat, 09 Juni 2023",8949
"Sabtu, 10 Juni 2023",3591
"Minggu, 11 Juni 2023",2185
"Senin, 12 Juni 2023",6952
"Selasa, 13 Juni 2023",1890
"Rabu, 14 Juni 2023",3458
